"g0.bTRUE","Model","Subtype"
"1",-0.0112690597825748,"Model A","Stratified"
"1",-0.00551386910307573,"Model A","Stratified"
"1",-0.0086952398806355,"Model A","Stratified"
"1",-0.00852772481951367,"Model A","Stratified"
"1",-0.00764769191538268,"Model A","Stratified"
"1",-0.00993696941778663,"Model A","Stratified"
"1",-0.00862524551120012,"Model A","Stratified"
"1",-0.00856375198366546,"Model A","Stratified"
"1",-0.00812121039820408,"Model A","Stratified"
"1",-0.0088277253248802,"Model A","Stratified"
"1",-0.00441722944059803,"Model A","Stratified"
"1",-0.00607519918195277,"Model A","Stratified"
"1",-0.00409073423960199,"Model A","Stratified"
"1",-0.00793980710068692,"Model A","Stratified"
"1",-0.00764191519753838,"Model A","Stratified"
"1",-0.00789445231149185,"Model A","Stratified"
"1",-0.0111135624738679,"Model A","Stratified"
"1",-0.00880166886867142,"Model A","Stratified"
"1",-0.0111618735344128,"Model A","Stratified"
"1",-0.00898491320401134,"Model A","Stratified"
"1",-0.0083902994388083,"Model A","Stratified"
"1",-0.00908320148542186,"Model A","Stratified"
"1",-0.0125835499285236,"Model A","Stratified"
"1",-0.00932074631378654,"Model A","Stratified"
"1",-0.00701639021735275,"Model A","Stratified"
"1",-0.011500060122731,"Model A","Stratified"
"1",-0.008166675259938,"Model A","Stratified"
"1",-0.00835580648807681,"Model A","Stratified"
"1",-0.00574011888690796,"Model C","SimpleRandom"
"1",-0.00481582013705972,"Model C","SimpleRandom"
"1",-0.00509126428690296,"Model C","SimpleRandom"
"1",-0.00443517000555187,"Model C","SimpleRandom"
"1",-0.0060991035331183,"Model C","SimpleRandom"
"1",-0.00482519465780361,"Model C","SimpleRandom"
"1",-0.00539171501625883,"Model C","SimpleRandom"
"1",-0.00482211066825914,"Model C","SimpleRandom"
"1",-0.00539429841738323,"Model C","SimpleRandom"
"1",-0.00569264844163206,"Model C","SimpleRandom"
"1",-0.00482461395600406,"Model C","SimpleRandom"
"1",-0.00503035882962871,"Model C","SimpleRandom"
"1",-0.0055580755624376,"Model C","SimpleRandom"
"1",-0.00573950162318927,"Model C","SimpleRandom"
"1",-0.00670958324624337,"Model C","SimpleRandom"
"1",-0.00586442591865144,"Model C","SimpleRandom"
"1",-0.00446194389861984,"Model C","SimpleRandom"
"1",-0.00435326384391917,"Model C","SimpleRandom"
"1",-0.00461988517431725,"Model C","SimpleRandom"
"1",-0.00557794547700925,"Model C","SimpleRandom"
"1",-0.00674194838413056,"Model C","SimpleRandom"
"1",-0.00516282427704169,"Model C","SimpleRandom"
"1",-0.00448425045932178,"Model C","SimpleRandom"
"1",-0.00675063751978233,"Model C","SimpleRandom"
"1",-0.00590460158738714,"Model C","SimpleRandom"
"1",-0.00492814145253577,"Model C","SimpleRandom"
"1",-0.00373374099419683,"Model C","SimpleRandom"
"1",-0.00890261812840042,"Model C","SimpleRandom"
"1",-0.00430470861864427,"Model C","SimpleRandom"
